id,symbol,side,strategy,entry_price,exit_price,quantity,profit_loss,profit_loss_percent,stop_loss_price,take_profit_price,status,is_paper_trade,opened_at,closed_at,exit_reason,symbol,direction,regime,ensemble_confidence,regime_boost,agreeing_strategies_count,disagreeing_strategies_count,sentiment_value,sentiment_bias,funding_rate,funding_bias,kelly_fraction,stop_distance_pct,risk_reward_ratio,portfolio_drawdown_at_entry,open_positions_at_entry,hft_mode,raw_conditions
410,DOGE/USDT,BUY,RSI Mean Reversion + MACD Momentum + Bollinger Bands,0.09857,0.09781,17918.359475,-17.1368,-0.9703,0.09787049,0.09903449,closed,1,2026-02-27 09:08:46.775804,2026-02-27 09:38:50.688894,stop_loss,DOGE/USDT,BUY,trending_down,0.5514,1.1,3,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.7097,0.664,1.46,3,True,"['oversold_recovery', 'bullish_crossover', 'lower_band_bounce']"
411,ETH/USDT,BUY,Bollinger Bands,2037.45,2026.66,0.866523,-12.8714,-0.7291,2026.77679089,2049.51204346,closed,1,2026-02-27 09:16:05.244141,2026-02-27 09:42:58.797758,stop_loss,ETH/USDT,BUY,trending_down,0.75,1.0,1,0,13,BUY_ONLY,-1.075e-05,NEUTRAL,0.005,0.5239,1.13,1.5,3,True,['lower_band_bounce']
412,BTC/USDT,BUY,RSI Mean Reversion + Bollinger Bands,67653.32,67294.88,0.025922,-12.7896,-0.7293,67310.4621529,68043.08123166,closed,1,2026-02-27 09:44:52.246835,2026-02-27 09:54:55.193033,stop_loss,BTC/USDT,BUY,low_volatility,0.6265,1.075,2,0,13,BUY_ONLY,-7.478e-05,NEUTRAL,0.005,0.5068,1.137,2.16,1,True,"['oversold_recovery', 'lower_band_bounce']"
413,DOGE/USDT,BUY,Bollinger Bands,0.09729,0.09665,17996.244143,-15.0078,-0.8572,0.09671974,0.09782638,closed,1,2026-02-27 09:48:54.721005,2026-02-27 10:12:03.803237,stop_loss,DOGE/USDT,BUY,trending_down,0.7249,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.5861,0.941,2.32,1,True,['lower_band_bounce']
414,XRP/USDT,BUY,MACD Momentum + EMA Scalping,1.4075,1.4029,1243.979684,-9.2184,-0.5265,1.40362917,1.41510233,closed,1,2026-02-27 09:49:56.043851,2026-02-27 10:03:45.428369,stop_loss,XRP/USDT,BUY,low_volatility,0.8754,1.075,2,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.275,1.964,2.31,2,True,"['bullish_crossover', 'bullish_ema_crossover']"
415,SOL/USDT,BUY,MACD Momentum,86.28,85.64,20.266748,-16.455,-0.941,85.76232001,87.31536,closed,1,2026-02-27 09:54:57.403972,2026-02-27 10:12:03.827373,stop_loss,SOL/USDT,BUY,low_volatility,1.0,1.0,1,0,13,BUY_ONLY,-9.683e-05,NEUTRAL,0.005,0.6,2.0,2.44,2,True,['bullish_crossover']
416,ETH/USDT,BUY,EMA Scalping,2009.05,2003.79,0.870369,-8.0708,-0.4616,2004.65876526,2017.28356514,closed,1,2026-02-27 09:55:08.208394,2026-02-27 10:10:31.718362,stop_loss,ETH/USDT,BUY,high_volatility,0.4778,0.7,1,0,13,BUY_ONLY,-1.697e-05,NEUTRAL,0.005,0.2186,1.875,2.44,3,True,['bullish_ema_crossover']
417,XRP/USDT,BUY,Bollinger Bands,1.3983,1.3878,1246.037928,-16.555,-0.9502,1.38906325,1.41213147,closed,1,2026-02-27 10:11:38.798715,2026-02-27 10:54:06.918830,stop_loss,XRP/USDT,BUY,trending_down,0.7249,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6606,1.497,2.79,2,True,['lower_band_bounce']
418,BTC/USDT,BUY,RSI Mean Reversion + Bollinger Bands,66998.65,66429.72,0.025956,-18.2304,-1.0483,66561.09937238,67253.64682179,closed,1,2026-02-27 10:12:40.388739,2026-02-27 11:19:33.486159,stop_loss,BTC/USDT,BUY,trending_down,0.731,1.0,2,0,13,BUY_ONLY,-7.701e-05,NEUTRAL,0.005,0.6531,0.583,2.98,1,True,"['oversold_recovery', 'lower_band_bounce']"
419,DOGE/USDT,BUY,MACD Momentum,0.09689,0.09622,17961.769295,-15.503,-0.8908,0.09630865,0.09805268,closed,1,2026-02-27 10:18:50.174896,2026-02-27 10:53:34.891858,stop_loss,DOGE/USDT,BUY,low_volatility,1.0,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6,2.0,2.9,2,True,['bullish_crossover']
420,XRP/USDT,BUY,Bollinger Bands,1.3962,1.3863,1240.525576,-15.733,-0.9084,1.38637877,1.410162,closed,1,2026-02-27 11:14:33.754823,2026-02-27 11:33:03.874040,stop_loss,XRP/USDT,BUY,high_volatility,0.58,0.8,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.7034,1.422,3.37,1,True,['lower_band_bounce']
421,DOGE/USDT,BUY,Bollinger Bands,0.09607,0.09611,17993.308588,-2.7382,-0.1584,0.09525435,0.09610634,closed,1,2026-02-27 11:20:43.447013,2026-02-27 11:24:13.604669,take_profit,DOGE/USDT,BUY,ranging,0.8699,1.2,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.849,0.045,3.56,1,True,['lower_band_bounce']
422,BTC/USDT,BUY,Bollinger Bands,66467.99,65930.6,0.025993,-17.4098,-1.0077,65949.90387901,66942.76178946,closed,1,2026-02-27 11:22:45.841099,2026-02-27 12:17:09.188034,stop_loss,BTC/USDT,BUY,trending_down,0.75,1.0,1,0,13,BUY_ONLY,-5.65e-05,NEUTRAL,0.005,0.7795,0.916,3.61,2,True,['lower_band_bounce']
423,XRP/USDT,BUY,Bollinger Bands,1.3863,1.3789,1245.024723,-12.6559,-0.7333,1.37924849,1.3926741,closed,1,2026-02-27 11:33:04.820456,2026-02-27 12:18:13.211790,stop_loss,XRP/USDT,BUY,low_volatility,0.7249,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.5087,0.904,3.7,1,True,['lower_band_bounce']
424,DOGE/USDT,BUY,MACD Momentum + EMA Scalping,0.09558,0.09524,18057.933965,-9.5855,-0.5554,0.095412,0.0959049,closed,1,2026-02-27 11:33:10.440352,2026-02-27 11:36:10.275112,stop_loss,DOGE/USDT,BUY,low_volatility,0.6283,1.075,2,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1758,1.934,3.7,2,True,"['bullish_crossover', 'bullish_ema_crossover']"
425,DOGE/USDT,BUY,MACD Momentum,0.09524,0.09438,18084.900068,-18.9823,-1.1021,0.09466856,0.09638288,closed,1,2026-02-27 11:36:11.613968,2026-02-27 13:30:21.089648,stop_loss,DOGE/USDT,BUY,ranging,1.0,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6,2.0,3.9,2,True,['bullish_crossover']
426,ETH/USDT,BUY,EMA Scalping,1963.21,1958.87,0.875098,-7.2301,-0.4208,1959.57190961,1970.03141948,closed,1,2026-02-27 12:32:43.506776,2026-02-27 12:41:03.696219,stop_loss,ETH/USDT,BUY,ranging,0.6362,1.0,1,0,13,BUY_ONLY,-8.614e-05,NEUTRAL,0.005,0.1853,1.875,4.15,1,True,['bullish_ema_crossover']
427,XRP/USDT,BUY,Bollinger Bands,1.3823,1.3705,1242.856753,-18.087,-1.0528,1.37167437,1.38591021,closed,1,2026-02-27 12:32:43.519638,2026-02-27 13:30:21.103031,stop_loss,XRP/USDT,BUY,high_volatility,0.58,0.8,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.7687,0.34,4.15,2,True,['lower_band_bounce']
428,BTC/USDT,BUY,MACD Momentum + EMA Scalping,65940.47,66122.37,0.026008,1.2962,0.0756,66124.25034,66527.98970464,closed,1,2026-02-27 12:41:07.653841,2026-02-27 14:21:44.589496,trailing_stop,BTC/USDT,BUY,ranging,1.0,1.0,2,0,13,BUY_ONLY,-3.765e-05,NEUTRAL,0.005,0.4489,1.985,4.32,2,True,"['bullish_crossover', 'bullish_ema_crossover']"
429,XRP/USDT,BUY,RSI Mean Reversion + Bollinger Bands,1.3723,1.362,1245.414532,-16.2331,-0.9498,1.36283015,1.37990983,closed,1,2026-02-27 13:32:36.106719,2026-02-27 14:48:13.262662,stop_loss,XRP/USDT,BUY,high_volatility,0.5287,0.75,2,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6901,0.804,4.65,1,True,"['oversold_recovery', 'lower_band_bounce']"
430,DOGE/USDT,BUY,Bollinger Bands,0.09442,0.09493,18100.856115,5.804,0.3396,0.09464521,0.09478373,closed,1,2026-02-27 13:32:36.116832,2026-02-27 13:51:07.687965,take_profit,DOGE/USDT,BUY,ranging,0.8699,1.2,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.5415,0.711,4.65,2,True,['lower_band_bounce']
431,DOGE/USDT,BUY,Bollinger Bands,0.0946,0.09399,18091.831944,-14.448,-0.8442,0.09406954,0.09486846,closed,1,2026-02-27 14:09:23.639689,2026-02-27 14:52:21.565347,stop_loss,DOGE/USDT,BUY,low_volatility,1.0,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.5607,0.506,4.51,2,True,['lower_band_bounce']
432,ETH/USDT,BUY,MACD Momentum,1951.14,1938.72,0.875736,-14.2831,-0.8359,1939.43316,1974.55368,closed,1,2026-02-27 14:25:46.367986,2026-02-27 16:05:33.625839,stop_loss,ETH/USDT,BUY,ranging,0.89,1.0,1,0,13,BUY_ONLY,-0.00011603,BULLISH_FOR_LONGS,0.005,0.6,2.0,4.67,2,True,['bullish_crossover']
433,SOL/USDT,BUY,EMA Scalping,82.93,83.14,20.625485,0.9061,0.053,82.8362332,83.10581276,closed,1,2026-02-27 14:35:05.589191,2026-02-27 14:35:44.988312,take_profit,SOL/USDT,BUY,low_volatility,0.8169,1.15,1,0,13,BUY_ONLY,-0.00016516,BULLISH_FOR_LONGS,0.005,0.1131,1.875,4.57,3,True,['bullish_ema_crossover']
434,SOL/USDT,BUY,EMA Scalping,83.14,82.91,20.602233,-8.1595,-0.4764,83.04599575,83.31625797,closed,1,2026-02-27 14:35:48.672884,2026-02-27 14:36:17.008318,stop_loss,SOL/USDT,BUY,low_volatility,0.8169,1.15,1,0,13,BUY_ONLY,-0.00016516,BULLISH_FOR_LONGS,0.005,0.1131,1.875,4.44,3,True,['bullish_ema_crossover']
435,XRP/USDT,BUY,Bollinger Bands,1.362,1.354,1250.611624,-13.4016,-0.7868,1.3546625,1.37077959,closed,1,2026-02-27 14:48:17.086714,2026-02-27 15:36:30.656476,stop_loss,XRP/USDT,BUY,high_volatility,0.58,0.8,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.5387,1.197,4.97,2,True,['lower_band_bounce']
436,SOL/USDT,BUY,Bollinger Bands,82.28,82.76,20.680823,6.5136,0.3828,82.51172,82.68395913,closed,1,2026-02-27 14:53:48.585754,2026-02-27 15:01:11.976680,take_profit,SOL/USDT,BUY,low_volatility,0.8137,1.0,1,0,13,BUY_ONLY,-0.00016959,BULLISH_FOR_LONGS,0.005,0.5708,0.86,5.06,2,True,['lower_band_bounce']
437,SOL/USDT,BUY,Bollinger Bands,82.8,82.3,20.57724,-13.6859,-0.8033,82.36427712,82.97561404,closed,1,2026-02-27 15:21:39.102543,2026-02-27 16:05:33.644281,stop_loss,SOL/USDT,BUY,ranging,1.0,1.2,1,0,13,BUY_ONLY,-0.00017483,BULLISH_FOR_LONGS,0.005,0.5262,0.403,4.94,2,True,['lower_band_bounce']
438,XRP/USDT,BUY,EMA Scalping,1.357,1.3531,1253.401054,-8.2851,-0.4871,1.35431649,1.36203158,closed,1,2026-02-27 15:39:16.911182,2026-02-27 16:05:03.295890,stop_loss,XRP/USDT,BUY,ranging,0.6235,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1978,1.875,5.11,2,True,['bullish_ema_crossover']
439,DOGE/USDT,BUY,Bollinger Bands,0.094,0.0943,18086.932015,2.0203,0.1188,0.09337654,0.09422857,closed,1,2026-02-27 15:49:37.872182,2026-02-27 15:53:07.042668,take_profit,DOGE/USDT,BUY,high_volatility,0.58,0.8,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6633,0.367,5.14,3,True,['lower_band_bounce']
440,BTC/USDT,BUY,Bollinger Bands,65919.82,65492.84,0.02571,-14.3563,-0.8471,65495.94858541,66218.8116493,closed,1,2026-02-27 16:05:36.006081,2026-02-27 16:49:42.773221,stop_loss,BTC/USDT,BUY,trending_down,0.75,1.0,1,0,13,BUY_ONLY,-4.38e-06,NEUTRAL,0.005,0.643,0.705,5.44,0,True,['lower_band_bounce']
441,XRP/USDT,BUY,Bollinger Bands,1.3525,1.3432,1252.857316,-15.0289,-0.8869,1.34390332,1.36202903,closed,1,2026-02-27 16:13:25.560709,2026-02-27 17:20:52.080518,stop_loss,XRP/USDT,BUY,high_volatility,0.58,0.8,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6356,1.108,5.46,1,True,['lower_band_bounce']
442,DOGE/USDT,BUY,EMA Scalping,0.09396,0.0942,18038.337343,0.9351,0.0552,0.09383616,0.09419219,closed,1,2026-02-27 16:23:44.564120,2026-02-27 16:25:48.202686,take_profit,DOGE/USDT,BUY,low_volatility,0.71,1.15,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1318,1.875,5.44,2,True,['bullish_ema_crossover']
443,DOGE/USDT,BUY,Bollinger Bands,0.09419,0.09369,18013.781872,-12.3913,-0.7303,0.0937106,0.09478242,closed,1,2026-02-27 16:32:53.814762,2026-02-27 16:49:10.712983,stop_loss,DOGE/USDT,BUY,trending_down,1.0,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.509,1.236,5.34,2,True,['lower_band_bounce']
444,ETH/USDT,BUY,MACD Momentum + EMA Scalping,1928.35,1918.38,0.876062,-12.1043,-0.7165,1919.75866871,1945.39362819,closed,1,2026-02-27 16:52:23.931077,2026-02-27 17:18:47.801680,stop_loss,ETH/USDT,BUY,ranging,1.0,1.0,2,0,13,BUY_ONLY,-0.00011323,BULLISH_FOR_LONGS,0.005,0.4455,1.984,5.75,1,True,"['bullish_crossover', 'bullish_ema_crossover']"
445,SOL/USDT,BUY,Bollinger Bands,81.59,81.01,20.710088,-15.3793,-0.9102,81.16352206,82.31746398,closed,1,2026-02-27 16:54:29.519754,2026-02-27 21:54:57.514059,stop_loss,SOL/USDT,BUY,high_volatility,0.6592,0.8,1,0,13,BUY_ONLY,-0.00019748,BULLISH_FOR_LONGS,0.005,0.5227,1.706,5.73,2,True,['lower_band_bounce']
446,DOGE/USDT,BUY,EMA Scalping,0.0935,0.09334,18059.845491,-6.2639,-0.371,0.09336386,0.09375524,closed,1,2026-02-27 17:16:03.417667,2026-02-27 17:16:11.291179,stop_loss,DOGE/USDT,BUY,ranging,0.6053,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1456,1.875,5.79,3,True,['bullish_ema_crossover']
447,DOGE/USDT,BUY,EMA Scalping,0.09334,0.0932,18058.696172,-5.8969,-0.3498,0.0932041,0.09359481,closed,1,2026-02-27 17:16:13.610311,2026-02-27 17:18:15.450607,stop_loss,DOGE/USDT,BUY,ranging,0.6053,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1456,1.875,5.96,3,True,['bullish_ema_crossover']
448,XRP/USDT,BUY,RSI Mean Reversion + Bollinger Bands,1.3448,1.3568,1250.110192,11.624,0.6914,1.3527296,1.3560078,closed,1,2026-02-27 17:22:09.248030,2026-02-27 17:53:36.121033,take_profit,XRP/USDT,BUY,high_volatility,0.5158,0.75,2,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6552,1.272,6.21,1,True,"['oversold_recovery', 'lower_band_bounce']"
449,DOGE/USDT,BUY,MACD Momentum,0.09324,0.09359,18018.906201,2.9401,0.175,0.09359836,0.09435888,closed,1,2026-02-27 17:30:20.312993,2026-02-27 17:58:16.342194,trailing_stop,DOGE/USDT,BUY,ranging,0.5268,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6,2.0,6.26,2,True,['bullish_crossover']
450,ETH/USDT,BUY,Bollinger Bands,1913.71,1922.76,0.877943,4.5772,0.2724,1902.89543555,1921.10988647,closed,1,2026-02-27 17:32:22.651161,2026-02-27 17:38:31.283313,take_profit,ETH/USDT,BUY,high_volatility,0.6333,0.8,1,0,13,BUY_ONLY,-0.0001109,BULLISH_FOR_LONGS,0.005,0.5651,0.684,6.26,3,True,['lower_band_bounce']
451,ETH/USDT,BUY,Bollinger Bands,1922.76,1925.33,0.876048,-1.1197,-0.0665,1927.87896,1941.9876,closed,1,2026-02-27 17:38:34.009816,2026-02-27 18:09:40.954860,trailing_stop,ETH/USDT,BUY,high_volatility,0.6329,0.8,1,0,13,BUY_ONLY,-0.00010979,BULLISH_FOR_LONGS,0.005,0.6127,1.632,6.02,3,True,['lower_band_bounce']
452,XRP/USDT,BUY,MACD Momentum,1.3571,1.3596,1243.260822,-0.2694,-0.016,1.359908,1.3733852,closed,1,2026-02-27 18:09:24.478196,2026-02-27 18:37:44.148257,trailing_stop,XRP/USDT,BUY,ranging,0.5063,1.0,1,0,13,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.6,2.0,5.87,2,True,['bullish_crossover']
